drug_name_norm	chembl_id	drug_class	drug_class_label	n_sources	sources	max_phase	is_approved	hnscc_indication	cmap_score	n_de_genes	n_up_genes	n_down_genes	de_genes	primary_target	primary_target_centrality	primary_pi	module_id	module_name	tier	is_network_hub	has_credible_target	s_reversal	s_regulatory	s_breadth	TargetPriority	DrugViability	composite_score	final_score
PANITUMUMAB	CHEMBL1201827	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	TRUE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	1	0.75	0.605422740918836	0.55	0.583253644551301	0.583253644551301
AMIVANTAMAB	CHEMBL4297774	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
AUMOLERTINIB	CHEMBL4761468	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
BRIGATINIB	CHEMBL3545311	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	2	2	0	EGFR|EML4	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
ICOTINIB	CHEMBL2087361	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
LAZERTINIB	CHEMBL4558324	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
MOBOCERTINIB	CHEMBL4650319	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
NECITUMUMAB	CHEMBL1743047	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
OLMUTINIB	CHEMBL3786343	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
OSIMERTINIB	CHEMBL3353410	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
ROCILETINIB	CHEMBL3545308	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.45	0.543253644551301	0.543253644551301
CETUXIMAB SAROTALOCAN	CHEMBL4298088	B	B: Approved other cancer	2	DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.5	0.605422740918836	0.4	0.523253644551301	0.523253644551301
AZACITIDINE	CHEMBL1489	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.488044209090225	5	2	3	ALDH1A1|CDA|DNMT1|HBB|TAGLN	DNMT1	0.0655986585742733	0.718200879049837	17	M17_chromatin_remodeling	peripheral_diff	FALSE	TRUE	0.488044209090225	0.75	1	0.359269657788277	0.69521768363609	0.493648868127402	0.493648868127402
DECITABINE	CHEMBL1201129	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.414253099672503	2	2	0	DNMT1|NR5A1	DNMT1	0.0655986585742733	0.718200879049837	17	M17_chromatin_remodeling	peripheral_diff	FALSE	TRUE	0.414253099672503	0.75	1	0.359269657788277	0.665701239869001	0.481842290620567	0.481842290620567
ABIVERTINIB	CHEMBL4297865	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
CANERTINIB DIHYDROCHLORIDE	CHEMBL545315	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
DEPATUXIZUMAB MAFODOTIN	CHEMBL3707277	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
FIRMONERTINIB	CHEMBL4297258	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
FUTUXIMAB	CHEMBL2109388	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
NAQUOTINIB	CHEMBL3663929	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
PYROTINIB	CHEMBL3647420	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
RINDOPEPIMUT	CHEMBL2107863	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
RUSERONTINIB	CHEMBL3678958	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
SIMOTINIB	CHEMBL3545235	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
TESEVATINIB	CHEMBL3544983	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.25	0.463253644551301	0.463253644551301
