drug_name_norm	chembl_id	drug_class	drug_class_label	n_sources	sources	max_phase	is_approved	hnscc_indication	cmap_score	n_de_genes	n_up_genes	n_down_genes	de_genes	primary_target	has_pi_evidence	s_pi_stat	s_clinical	s_cmap	s_pathway	s_network	s_evidence	composite_score	bonus	final_score
ICOTINIB	CHEMBL2087361	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
LAZERTINIB	CHEMBL4558324	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
MOBOCERTINIB	CHEMBL4650319	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
NECITUMUMAB	CHEMBL1743047	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
NIMOTUZUMAB	CHEMBL2108359	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	TRUE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
OLMUTINIB	CHEMBL3786343	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
OSIMERTINIB	CHEMBL3353410	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
PANITUMUMAB	CHEMBL1201827	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	TRUE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
ROCILETINIB	CHEMBL3545308	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	1	0	1	0.314801087287104	0	0.706017369887393	0	0.706017369887393
CRIZOTINIB	CHEMBL601719	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.615486332670067	2	2	0	EGFR|EML4	EGFR	TRUE	0.722605380504898	1	0.615486332670067	0.5	0.329385005192313	0	0.674998536247813	0.03	0.704998536247813
AFATINIB	CHEMBL2105712	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.571276649587275	2	2	0	EGFR|EML4	EGFR	TRUE	0.722605380504898	1	0.571276649587275	0.5	0.329385005192313	0	0.670577567939533	0.03	0.700577567939534
LAPATINIB	CHEMBL1201179	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.590151450669703	2	2	0	EGFR|HLA-A	EGFR	TRUE	0.720899331293408	1	0.590151450669703	0.5	0.314641922953897	0	0.669571166027418	0.03	0.699571166027418
AZACITIDINE	CHEMBL1489	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.487937861706096	5	2	3	ALDH1A1|CDA|DNMT1|HBB|TAGLN	ALDH1A1	TRUE	0.628454803890886	1	0.487937861706096	0.8	0.323904624966557	0	0.668761401471947	0.03	0.698761401471947
METFORMIN	CHEMBL1431	A	A: Approved + HNSCC evidence	3	DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.436310919883868	20	1	19	EGFR|NDUFA10|NDUFA13|NDUFA2|NDUFA5|NDUFA8|NDUFA9|NDUFB1|NDUFB10|NDUFB11|NDUFB4|NDUFB7|NDUFB9|NDUFS1|NDUFS2|NDUFS3|NDUFS6|NDUFS7|NDUFV1|NDUFV2	EGFR	TRUE	0.474945648139452	1	0.436310919883868	1	0.49630830495508	0	0.65805559698743	0.03	0.68805559698743
CARFILZOMIB	CHEMBL451887	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.276923858803903	15	15	0	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB8|PSMB9|PSMD10	PSMA1	TRUE	0.698581947364364	1	0.276923858803903	0.733333333333333	0.210716739532044	0	0.648732675755942	0.03	0.678732675755942
TRANYLCYPROMINE	CHEMBL3989843	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.541858945250259	1	0	1	MAOA	MAOA	TRUE	0.537283229179549	1	0.541858945250259	1	0.14345461283488	0	0.640617378122078	0.03	0.670617378122078
DEFIBROTIDE	CHEMBL2108396	C	C: Approved non-oncology	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	2	1	1	F2|SERPINE1	F2	TRUE	0.68794999057697	1	0	1	0.192772800123107	0	0.654095916249254	0.01	0.664095916249254
CEDAZURIDINE	CHEMBL3237547	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	CDA	CDA	TRUE	0.740746350489473	1	0	1	0.107241379310345	0	0.662384747092341	0	0.662384747092341
TENATUMOMAB	CHEMBL1743077	D	D: Not approved / Experimental	2	DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	TNC	TNC	TRUE	0.865556846699835	0.75	0	1	0.107241379310345	0	0.662308945576486	0	0.662308945576486
PABINAFUSP ALFA	CHEMBL4594565	C	C: Approved non-oncology	2	DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	TFRC	TFRC	TRUE	0.706661282530246	1	0	1	0.129357420504537	0	0.652068126087779	0.01	0.662068126087779
MITAPIVAT	CHEMBL4299940	C	C: Approved non-oncology	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	PKLR	PKLR	TRUE	0.674283559464797	1	0	1	0.189412283683328	0	0.648125266338418	0.01	0.658125266338418
ABIVERTINIB	CHEMBL4297865	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	0.75	0	1	0.314801087287104	0	0.656017369887393	0	0.656017369887393
CANERTINIB DIHYDROCHLORIDE	CHEMBL545315	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	0.75	0	1	0.314801087287104	0	0.656017369887393	0	0.656017369887393
CLN-081	CHEMBL4650281	D	D: Not approved / Experimental	2	ChEMBL|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	0.75	0	1	0.314801087287104	0	0.656017369887393	0	0.656017369887393
DEPATUXIZUMAB MAFODOTIN	CHEMBL3707277	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	TRUE	0.771993016985817	0.75	0	1	0.314801087287104	0	0.656017369887393	0	0.656017369887393
